----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 64, 110, 110]           1,728
       BatchNorm2d-2         [-1, 64, 110, 110]             128
             PReLU-3         [-1, 64, 110, 110]               1
         MaxPool2d-4           [-1, 64, 55, 55]               0
       BatchNorm2d-5           [-1, 64, 55, 55]             128
            Conv2d-6           [-1, 64, 55, 55]          36,864
       BatchNorm2d-7           [-1, 64, 55, 55]             128
             PReLU-8           [-1, 64, 55, 55]               1
            Conv2d-9           [-1, 64, 55, 55]          36,864
      BatchNorm2d-10           [-1, 64, 55, 55]             128
AdaptiveAvgPool2d-11             [-1, 64, 1, 1]               0
           Linear-12                    [-1, 4]             260
            PReLU-13                    [-1, 4]               1
           Linear-14                   [-1, 64]             320
          Sigmoid-15                   [-1, 64]               0
          SEBlock-16           [-1, 64, 55, 55]               0
            PReLU-17           [-1, 64, 55, 55]               1
          IRBlock-18           [-1, 64, 55, 55]               0
      BatchNorm2d-19           [-1, 64, 55, 55]             128
           Conv2d-20           [-1, 64, 55, 55]          36,864
      BatchNorm2d-21           [-1, 64, 55, 55]             128
            PReLU-22           [-1, 64, 55, 55]               1
           Conv2d-23           [-1, 64, 55, 55]          36,864
      BatchNorm2d-24           [-1, 64, 55, 55]             128
AdaptiveAvgPool2d-25             [-1, 64, 1, 1]               0
           Linear-26                    [-1, 4]             260
            PReLU-27                    [-1, 4]               1
           Linear-28                   [-1, 64]             320
          Sigmoid-29                   [-1, 64]               0
          SEBlock-30           [-1, 64, 55, 55]               0
            PReLU-31           [-1, 64, 55, 55]               1
          IRBlock-32           [-1, 64, 55, 55]               0
      BatchNorm2d-33           [-1, 64, 55, 55]             128
           Conv2d-34           [-1, 64, 55, 55]          36,864
      BatchNorm2d-35           [-1, 64, 55, 55]             128
            PReLU-36           [-1, 64, 55, 55]               1
           Conv2d-37           [-1, 64, 55, 55]          36,864
      BatchNorm2d-38           [-1, 64, 55, 55]             128
AdaptiveAvgPool2d-39             [-1, 64, 1, 1]               0
           Linear-40                    [-1, 4]             260
            PReLU-41                    [-1, 4]               1
           Linear-42                   [-1, 64]             320
          Sigmoid-43                   [-1, 64]               0
          SEBlock-44           [-1, 64, 55, 55]               0
            PReLU-45           [-1, 64, 55, 55]               1
          IRBlock-46           [-1, 64, 55, 55]               0
      BatchNorm2d-47           [-1, 64, 55, 55]             128
           Conv2d-48           [-1, 64, 55, 55]          36,864
      BatchNorm2d-49           [-1, 64, 55, 55]             128
            PReLU-50           [-1, 64, 55, 55]               1
           Conv2d-51          [-1, 128, 28, 28]          73,728
      BatchNorm2d-52          [-1, 128, 28, 28]             256
AdaptiveAvgPool2d-53            [-1, 128, 1, 1]               0
           Linear-54                    [-1, 8]           1,032
            PReLU-55                    [-1, 8]               1
           Linear-56                  [-1, 128]           1,152
          Sigmoid-57                  [-1, 128]               0
          SEBlock-58          [-1, 128, 28, 28]               0
           Conv2d-59          [-1, 128, 28, 28]           8,192
      BatchNorm2d-60          [-1, 128, 28, 28]             256
            PReLU-61          [-1, 128, 28, 28]               1
          IRBlock-62          [-1, 128, 28, 28]               0
      BatchNorm2d-63          [-1, 128, 28, 28]             256
           Conv2d-64          [-1, 128, 28, 28]         147,456
      BatchNorm2d-65          [-1, 128, 28, 28]             256
            PReLU-66          [-1, 128, 28, 28]               1
           Conv2d-67          [-1, 128, 28, 28]         147,456
      BatchNorm2d-68          [-1, 128, 28, 28]             256
AdaptiveAvgPool2d-69            [-1, 128, 1, 1]               0
           Linear-70                    [-1, 8]           1,032
            PReLU-71                    [-1, 8]               1
           Linear-72                  [-1, 128]           1,152
          Sigmoid-73                  [-1, 128]               0
          SEBlock-74          [-1, 128, 28, 28]               0
            PReLU-75          [-1, 128, 28, 28]               1
          IRBlock-76          [-1, 128, 28, 28]               0
      BatchNorm2d-77          [-1, 128, 28, 28]             256
           Conv2d-78          [-1, 128, 28, 28]         147,456
      BatchNorm2d-79          [-1, 128, 28, 28]             256
            PReLU-80          [-1, 128, 28, 28]               1
           Conv2d-81          [-1, 128, 28, 28]         147,456
      BatchNorm2d-82          [-1, 128, 28, 28]             256
AdaptiveAvgPool2d-83            [-1, 128, 1, 1]               0
           Linear-84                    [-1, 8]           1,032
            PReLU-85                    [-1, 8]               1
           Linear-86                  [-1, 128]           1,152
          Sigmoid-87                  [-1, 128]               0
          SEBlock-88          [-1, 128, 28, 28]               0
            PReLU-89          [-1, 128, 28, 28]               1
          IRBlock-90          [-1, 128, 28, 28]               0
      BatchNorm2d-91          [-1, 128, 28, 28]             256
           Conv2d-92          [-1, 128, 28, 28]         147,456
      BatchNorm2d-93          [-1, 128, 28, 28]             256
            PReLU-94          [-1, 128, 28, 28]               1
           Conv2d-95          [-1, 128, 28, 28]         147,456
      BatchNorm2d-96          [-1, 128, 28, 28]             256
AdaptiveAvgPool2d-97            [-1, 128, 1, 1]               0
           Linear-98                    [-1, 8]           1,032
            PReLU-99                    [-1, 8]               1
          Linear-100                  [-1, 128]           1,152
         Sigmoid-101                  [-1, 128]               0
         SEBlock-102          [-1, 128, 28, 28]               0
           PReLU-103          [-1, 128, 28, 28]               1
         IRBlock-104          [-1, 128, 28, 28]               0
     BatchNorm2d-105          [-1, 128, 28, 28]             256
          Conv2d-106          [-1, 128, 28, 28]         147,456
     BatchNorm2d-107          [-1, 128, 28, 28]             256
